retn_code,foodgrp_code,food_type,food_desc,cook_method_1,cook_method_2,cook_method_addon,cook_time,nutrient_num,nutrient_desc,retn_factor
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,305,Phosphorus,65
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,306,Potassium,75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,307,Sodium,70
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,309,Zinc,100
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,312,Copper,100
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,401,"Vitamin C, total ascorbic acid",75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,404,Thiamin,40
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,405,Riboflavin,75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,406,Niacin,80
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,415,Vitamin B-6,50
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,417,"Folate, total",65
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,431,Folic acid,65
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,432,"Folate, food",65
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,421,"Choline, total",90
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,418,Vitamin B-12,60
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,318,"Vitamin A, IU",75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,392,"Vitamin A, RE",75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,221,"Alcohol, ethyl",100
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,321,"Carotene, beta",75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,322,"Carotene, alpha",75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,334,"Cryptoxanthin, beta",75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,337,Lycopene,75
1401,10,PORK,FRESH GROUND,BROWNED,SIMMERED,WO/DRIPPINGS,,338,Lutein + zeaxanthin,75
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,301,Calcium,100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,303,Iron,100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,304,Magnesium,100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,305,Phosphorus,100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,306,Potassium,100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,307,Sodium,100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,309,Zinc,100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,312,Copper,100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,401,"Vitamin C, total ascorbic acid",80
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,404,Thiamin,55
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,405,Riboflavin,90
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,406,Niacin,95
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,415,Vitamin B-6,65
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,417,"Folate, total",70
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,431,Folic acid,70
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,432,"Folate, food",70
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,421,"Choline, total",90
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,418,Vitamin B-12,75
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,318,"Vitamin A, IU",80
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,392,"Vitamin A, RE",80
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,221,"Alcohol, ethyl",100
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,321,"Carotene, beta",80
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,322,"Carotene, alpha",80
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,334,"Cryptoxanthin, beta",80
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,337,Lycopene,80
1406,10,PORK,FRESH GROUND,SIMMERED,,W/DRIPPINGS,,338,Lutein + zeaxanthin,80
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,301,Calcium,80
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,303,Iron,100
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,304,Magnesium,65
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,305,Phosphorus,65
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,306,Potassium,75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,307,Sodium,70
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,309,Zinc,100
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,312,Copper,100
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,401,"Vitamin C, total ascorbic acid",75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,404,Thiamin,40
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,405,Riboflavin,75
1405,10,PORK,FRESH GROUND,SIMMERED,,WO/DRIPPINGS,,406,Niacin,80
